"Datum";"Cas";"Cena_Spot";"Tarif";"Cena_Konecna";"Cena_Bat";"Sell";"Fix";"Plyn"
"2026-09-22";"00:00";"187.35";"NT";"4.56";"2.99";"4.31";"3.34";"1.07"
"2026-09-22";"00:05";"187.35";"NT";"4.56";"2.99";"4.31";"3.34";"1.07"
"2026-09-22";"00:10";"187.35";"NT";"4.56";"2.99";"4.31";"3.34";"1.07"
"2026-09-22";"00:15";"179.78";"NT";"4.38";"2.83";"4.13";"3.34";"1.07"
"2026-09-22";"00:20";"179.78";"NT";"4.38";"2.83";"4.13";"3.34";"1.07"
"2026-09-22";"00:25";"179.78";"NT";"4.38";"2.83";"4.13";"3.34";"1.07"
"2026-09-22";"00:30";"173.09";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"00:35";"173.09";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"00:40";"173.09";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"00:45";"172.57";"NT";"4.20";"2.67";"3.95";"3.34";"1.07"
"2026-09-22";"00:50";"172.57";"NT";"4.20";"2.67";"3.95";"3.34";"1.07"
"2026-09-22";"00:55";"172.57";"NT";"4.20";"2.67";"3.95";"3.34";"1.07"
"2026-09-22";"01:00";"174.21";"NT";"4.24";"2.71";"3.99";"3.34";"1.07"
"2026-09-22";"01:05";"174.21";"NT";"4.24";"2.71";"3.99";"3.34";"1.07"
"2026-09-22";"01:10";"174.21";"NT";"4.24";"2.71";"3.99";"3.34";"1.07"
"2026-09-22";"01:15";"172.79";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"01:20";"172.79";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"01:25";"172.79";"NT";"4.21";"2.68";"3.96";"3.34";"1.07"
"2026-09-22";"01:30";"173.39";"NT";"4.22";"2.69";"3.97";"3.34";"1.07"
"2026-09-22";"01:35";"173.39";"NT";"4.22";"2.69";"3.97";"3.34";"1.07"
"2026-09-22";"01:40";"173.39";"NT";"4.22";"2.69";"3.97";"3.34";"1.07"
"2026-09-22";"01:45";"172.07";"NT";"4.19";"2.66";"3.94";"3.34";"1.07"
"2026-09-22";"01:50";"172.07";"NT";"4.19";"2.66";"3.94";"3.34";"1.07"
"2026-09-22";"01:55";"172.07";"NT";"4.19";"2.66";"3.94";"3.34";"1.07"
"2026-09-22";"02:00";"172.58";"VT";"4.20";"2.67";"3.95";"3.64";"1.07"
"2026-09-22";"02:05";"172.58";"VT";"4.20";"2.67";"3.95";"3.64";"1.07"
"2026-09-22";"02:10";"172.58";"VT";"4.20";"2.67";"3.95";"3.64";"1.07"
"2026-09-22";"02:15";"170.84";"VT";"4.16";"2.63";"3.91";"3.64";"1.07"
"2026-09-22";"02:20";"170.84";"VT";"4.16";"2.63";"3.91";"3.64";"1.07"
"2026-09-22";"02:25";"170.84";"VT";"4.16";"2.63";"3.91";"3.64";"1.07"
"2026-09-22";"02:30";"168.46";"VT";"4.10";"2.58";"3.85";"3.64";"1.07"
"2026-09-22";"02:35";"168.46";"VT";"4.10";"2.58";"3.85";"3.64";"1.07"
"2026-09-22";"02:40";"168.46";"NT";"4.10";"2.58";"3.85";"3.34";"1.07"
"2026-09-22";"02:45";"167.58";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"02:50";"167.58";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"02:55";"167.58";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:00";"170.03";"NT";"4.14";"2.62";"3.89";"3.34";"1.07"
"2026-09-22";"03:05";"170.03";"NT";"4.14";"2.62";"3.89";"3.34";"1.07"
"2026-09-22";"03:10";"170.03";"NT";"4.14";"2.62";"3.89";"3.34";"1.07"
"2026-09-22";"03:15";"167.7";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:20";"167.7";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:25";"167.7";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:30";"167.57";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:35";"167.57";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:40";"167.57";"NT";"4.08";"2.56";"3.83";"3.34";"1.07"
"2026-09-22";"03:45";"168.6";"NT";"4.11";"2.58";"3.86";"3.34";"1.07"
"2026-09-22";"03:50";"168.6";"NT";"4.11";"2.58";"3.86";"3.34";"1.07"
"2026-09-22";"03:55";"168.6";"NT";"4.11";"2.58";"3.86";"3.34";"1.07"
"2026-09-22";"04:00";"149.06";"NT";"3.63";"2.16";"3.38";"3.34";"1.07"
"2026-09-22";"04:05";"149.06";"NT";"3.63";"2.16";"3.38";"3.34";"1.07"
"2026-09-22";"04:10";"149.06";"NT";"3.63";"2.16";"3.38";"3.34";"1.07"
"2026-09-22";"04:15";"148.66";"NT";"3.62";"2.15";"3.37";"3.34";"1.07"
"2026-09-22";"04:20";"148.66";"NT";"3.62";"2.15";"3.37";"3.34";"1.07"
"2026-09-22";"04:25";"148.66";"NT";"3.62";"2.15";"3.37";"3.34";"1.07"
"2026-09-22";"04:30";"152.62";"NT";"3.72";"2.23";"3.47";"3.34";"1.07"
