"Datum";"Cas";"Cena_Spot";"Tarif";"Cena_Konecna";"Cena_Bat";"Sell";"Fix";"Plyn"
"2026-08-18";"00:00";"187.93";"NT";"4,547.91";"4,092.00";"4,547.66";"3.34";"1.07"
"2026-08-18";"00:05";"187.93";"NT";"4,547.91";"4,092.00";"4,547.66";"3.34";"1.07"
"2026-08-18";"00:10";"187.93";"NT";"4,547.91";"4,092.00";"4,547.66";"3.34";"1.07"
"2026-08-18";"00:15";"179.97";"NT";"4,355.27";"3,918.64";"4,355.02";"3.34";"1.07"
"2026-08-18";"00:20";"179.97";"NT";"4,355.27";"3,918.64";"4,355.02";"3.34";"1.07"
"2026-08-18";"00:25";"179.97";"NT";"4,355.27";"3,918.64";"4,355.02";"3.34";"1.07"
"2026-08-18";"00:30";"167.81";"NT";"4,061.00";"3,653.79";"4,060.75";"3.34";"1.07"
"2026-08-18";"00:35";"167.81";"NT";"4,061.00";"3,653.79";"4,060.75";"3.34";"1.07"
"2026-08-18";"00:40";"167.81";"NT";"4,061.00";"3,653.79";"4,060.75";"3.34";"1.07"
"2026-08-18";"00:45";"158.56";"NT";"3,837.15";"3,452.33";"3,836.90";"3.34";"1.07"
"2026-08-18";"00:50";"158.56";"NT";"3,837.15";"3,452.33";"3,836.90";"3.34";"1.07"
"2026-08-18";"00:55";"158.56";"NT";"3,837.15";"3,452.33";"3,836.90";"3.34";"1.07"
"2026-08-18";"01:00";"167.15";"NT";"4,045.03";"3,639.42";"4,044.78";"3.34";"1.07"
"2026-08-18";"01:05";"167.15";"NT";"4,045.03";"3,639.42";"4,044.78";"3.34";"1.07"
"2026-08-18";"01:10";"167.15";"NT";"4,045.03";"3,639.42";"4,044.78";"3.34";"1.07"
"2026-08-18";"01:15";"161.93";"NT";"3,918.71";"3,525.72";"3,918.46";"3.34";"1.07"
"2026-08-18";"01:20";"161.93";"NT";"3,918.71";"3,525.72";"3,918.46";"3.34";"1.07"
"2026-08-18";"01:25";"161.93";"NT";"3,918.71";"3,525.72";"3,918.46";"3.34";"1.07"
"2026-08-18";"01:30";"160";"NT";"3,872.00";"3,483.69";"3,871.75";"3.34";"1.07"
"2026-08-18";"01:35";"160";"NT";"3,872.00";"3,483.69";"3,871.75";"3.34";"1.07"
"2026-08-18";"01:40";"160";"NT";"3,872.00";"3,483.69";"3,871.75";"3.34";"1.07"
"2026-08-18";"01:45";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"01:50";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"01:55";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"02:00";"152.55";"VT";"3,691.71";"3,321.43";"3,691.46";"3.64";"1.07"
"2026-08-18";"02:05";"152.55";"VT";"3,691.71";"3,321.43";"3,691.46";"3.64";"1.07"
"2026-08-18";"02:10";"152.55";"VT";"3,691.71";"3,321.43";"3,691.46";"3.64";"1.07"
"2026-08-18";"02:15";"150.08";"VT";"3,631.94";"3,267.63";"3,631.69";"3.64";"1.07"
"2026-08-18";"02:20";"150.08";"VT";"3,631.94";"3,267.63";"3,631.69";"3.64";"1.07"
"2026-08-18";"02:25";"150.08";"VT";"3,631.94";"3,267.63";"3,631.69";"3.64";"1.07"
"2026-08-18";"02:30";"149.66";"VT";"3,621.77";"3,258.48";"3,621.52";"3.64";"1.07"
"2026-08-18";"02:35";"149.66";"VT";"3,621.77";"3,258.48";"3,621.52";"3.64";"1.07"
"2026-08-18";"02:40";"149.66";"NT";"3,621.77";"3,258.48";"3,621.52";"3.34";"1.07"
"2026-08-18";"02:45";"150.93";"NT";"3,652.51";"3,286.14";"3,652.26";"3.34";"1.07"
"2026-08-18";"02:50";"150.93";"NT";"3,652.51";"3,286.14";"3,652.26";"3.34";"1.07"
"2026-08-18";"02:55";"150.93";"NT";"3,652.51";"3,286.14";"3,652.26";"3.34";"1.07"
"2026-08-18";"03:00";"148.34";"NT";"3,589.83";"3,229.73";"3,589.58";"3.34";"1.07"
"2026-08-18";"03:05";"148.34";"NT";"3,589.83";"3,229.73";"3,589.58";"3.34";"1.07"
"2026-08-18";"03:10";"148.34";"NT";"3,589.83";"3,229.73";"3,589.58";"3.34";"1.07"
"2026-08-18";"03:15";"146.98";"NT";"3,556.92";"3,200.11";"3,556.67";"3.34";"1.07"
"2026-08-18";"03:20";"146.98";"NT";"3,556.92";"3,200.11";"3,556.67";"3.34";"1.07"
"2026-08-18";"03:25";"146.98";"NT";"3,556.92";"3,200.11";"3,556.67";"3.34";"1.07"
"2026-08-18";"03:30";"148.18";"NT";"3,585.96";"3,226.25";"3,585.71";"3.34";"1.07"
"2026-08-18";"03:35";"148.18";"NT";"3,585.96";"3,226.25";"3,585.71";"3.34";"1.07"
"2026-08-18";"03:40";"148.18";"NT";"3,585.96";"3,226.25";"3,585.71";"3.34";"1.07"
"2026-08-18";"03:45";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"03:50";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"03:55";"150.07";"NT";"3,631.69";"3,267.41";"3,631.44";"3.34";"1.07"
"2026-08-18";"04:00";"148.4";"NT";"3,591.28";"3,231.04";"3,591.03";"3.34";"1.07"
"2026-08-18";"04:05";"148.4";"NT";"3,591.28";"3,231.04";"3,591.03";"3.34";"1.07"
"2026-08-18";"04:10";"148.4";"NT";"3,591.28";"3,231.04";"3,591.03";"3.34";"1.07"
"2026-08-18";"04:15";"147.05";"NT";"3,558.61";"3,201.64";"3,558.36";"3.34";"1.07"
"2026-08-18";"04:20";"147.05";"NT";"3,558.61";"3,201.64";"3,558.36";"3.34";"1.07"
"2026-08-18";"04:25";"147.05";"NT";"3,558.61";"3,201.64";"3,558.36";"3.34";"1.07"
"2026-08-18";"04:30";"149.3";"NT";"3,613.06";"3,250.64";"3,612.81";"3.34";"1.07"
"2026-08-18";"04:35";"149.3";"NT";"3,613.06";"3,250.64";"3,612.81";"3.34";"1.07"
"2026-08-18";"04:40";"149.3";"NT";"3,613.06";"3,250.64";"3,612.81";"3.34";"1.07"
"2026-08-18";"04:45";"152.13";"NT";"3,681.55";"3,312.28";"3,681.30";"3.34";"1.07"
"2026-08-18";"04:50";"152.13";"NT";"3,681.55";"3,312.28";"3,681.30";"3.34";"1.07"
"2026-08-18";"04:55";"152.13";"NT";"3,681.55";"3,312.28";"3,681.30";"3.34";"1.07"
"2026-08-18";"05:00";"147.12";"NT";"3,560.30";"3,203.16";"3,560.05";"3.34";"1.07"
"2026-08-18";"05:05";"147.12";"NT";"3,560.30";"3,203.16";"3,560.05";"3.34";"1.07"
"2026-08-18";"05:10";"147.12";"NT";"3,560.30";"3,203.16";"3,560.05";"3.34";"1.07"
"2026-08-18";"05:15";"155.99";"NT";"3,774.96";"3,396.35";"3,774.71";"3.34";"1.07"
"2026-08-18";"05:20";"155.99";"NT";"3,774.96";"3,396.35";"3,774.71";"3.34";"1.07"
"2026-08-18";"05:25";"155.99";"NT";"3,774.96";"3,396.35";"3,774.71";"3.34";"1.07"
"2026-08-18";"05:30";"159.44";"NT";"3,858.45";"3,471.49";"3,858.20";"3.34";"1.07"
"2026-08-18";"05:35";"159.44";"NT";"3,858.45";"3,471.49";"3,858.20";"3.34";"1.07"
