platnost ve dni;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout
pondělí;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
úterý;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
středa;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
čtvrtek;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
pátek;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
sobota;0:00;2:00;2:40;6:40;7:20;11:00;11:40;14:00;14:40;18:40;19:20;22:20;23:00;0:00
neděle;0:00;2:00;2:40;5:40;6:20;9:20;10:00;13:20;14:00;18:40;19:20;22:20;23:00;0:00
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
T1;0.0308
T2;0.0185
baterie;0.0322
bat%;0.9;;;;;;;;;;;;;
priplatek;0.0104
srazka;0.0104
fixEUR;0.1200
EUR;24.1
fix;2.892;;;;;;;;;;;;;
plyn;1.071;;;;;;;;;;;;;
;;;;;;;;;;;;;;
T1CZK;0.743;;;;;;;;;;;;;
T2CZK;0.445;;;;;;;;;;;;;
baterie;0.775;;;;;;;;;;;;;
priplatekCZK;0.250;;;;;;;;;;;;;
srazkaCZK;0.250;;;;;;;;;;;;;








